number,date,launch_name,cosmodrome,booster_rocket,result
1,15.04.1960 18:06:44,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
2,16.04.1960 19:07:43,Запуск автоматической межпланетной станции к Луне,Байконур,Восток,Аварийный
3,15.05.1960 03:00:06,Запуск беспилотного космического корабля,Байконур,Восток,Успешный
4,28.07.1960 12:31,Запуск беспилотного космического корабля,Байконур,Восток,Аварийный
5,19.08.1960 11:44:07,Запуск беспилотного космического корабля,Байконур,Восток,Успешный
6,10.10.1960 17:27:50,Запуск автоматической межпланетной станции к Марсу,Байконур,Молния,Аварийный
7,14.10.1960 16:51:03,Запуск автоматической межпланетной станции к Марсу,Байконур,Молния,Аварийный
8,01.12.1960 10:30:04,Запуск беспилотного космического корабля,Байконур,Восток,Успешный
9,22.12.1960 10:45:19,Запуск беспилотного космического корабля,Байконур,Восток,Аварийный
10,04.02.1961 04:18:04,Запуск автоматической межпланетной станции к Венере,Байконур,Молния,Частично успешный
11,12.02.1961 03:34:37,Запуск автоматической межпланетной станции «Венера-1»,Байконур,Молния,Успешный
12,09.03.1961 09:29:00,Запуск беспилотного космического корабля,Байконур,Восток,Успешный
13,25.03.1961 08:54:00,Запуск беспилотного космического корабля,Байконур,Восток,Успешный
14,12.04.1961 09:07:00,Запуск пилотируемого космического корабля «Восток» (первый человек в космосе),Байконур,Восток,Успешный
15,06.08.1961 09:00:00,Запуск пилотируемого космического корабля «Восток-2»,Байконур,Восток,Успешный
16,27.10.1961 19:30,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
17,11.12.1961 12:39:02,Запуск космического аппарата,Байконур,Восток,Аварийный
18,21.12.1961 15:30,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
19,16.03.1962 14:59:48,Запуск космического аппарата «Космос-1»,Капустин Яр,Космос,Успешный
20,06.04.1962 20:15,Запуск космического аппарата «Космос-2»,Капустин Яр,Космос,Успешный
21,24.04.1962 07:00,Запуск космического аппарата «Космос-3»,Капустин Яр,Космос,Успешный
22,26.04.1962 13:02:55,Запуск космического аппарата «Космос-4»,Байконур,Восток,Успешный
23,28.05.1962 05:59:49,Запуск космического аппарата «Космос-5»,Капустин Яр,Космос,Успешный
24,01.06.1962 12:37:52,Запуск космического аппарата,Байконур,Восток-2,Аварийный
25,30.06.1962 19:00,Запуск космического аппарата «Космос-6»,Капустин Яр,Космос,Успешный
26,28.07.1962 12:18:31,Запуск космического аппарата «Космос-7»,Байконур,Восток-2,Успешный
27,11.08.1962 11:30:00,Запуск пилотируемого космического корабля «Восток-3»,Байконур,Восток,Успешный
28,12.08.1962 11:02:33,Запуск пилотируемого космического корабля «Восток-4»,Байконур,Восток,Успешный
29,18.08.1962 18:00,Запуск космического аппарата «Космос-8»,Капустин Яр,Космос,Успешный
30,25.08.1962 05:56:06,Запуск автоматической межпланетной станции к Венере,Байконур,Молния,Частично успешный
31,01.09.1962 05:12:33,Запуск автоматической межпланетной станции к Венере,Байконур,Молния,Частично успешный
32,12.09.1962 03:59:13,Запуск автоматической межпланетной станции к Венере,Байконур,Молния,Частично успешный
33,27.09.1962 12:40:00,Запуск космического аппарата «Космос-9»,Байконур,Восток-2,Успешный
34,17.10.1962 12:00:00,Запуск космического аппарата «Космос-10»,Байконур,Восток-2,Успешный
35,20.10.1962 07:00,Запуск космического аппарата «Космос-11»,Капустин Яр,Космос,Успешный
36,24.10.1962 20:55:04,Запуск автоматической межпланетной станции к Марсу,Байконур,Молния,Частично успешный
37,25.10.1962 10:00,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
38,01.11.1962 19:14:16,Запуск автоматической межпланетной станции «Марс-1»,Байконур,Молния,Успешный
39,04.11.1962 18:35:15,Запуск автоматической межпланетной станции к Марсу,Байконур,Молния,Частично успешный
40,22.12.1962 12:24:38,Запуск космического аппарата «Космос-12»,Байконур,Восток-2,Успешный
41,04.01.1963 11:48:58,Запуск автоматической межпланетной станции к Луне,Байконур,Молния,Частично успешный
42,03.02.1963 12:29:14,Запуск автоматической межпланетной станции к Луне,Байконур,Молния,Аварийный
43,21.03.1963 11:30:01,Запуск космического аппарата «Космос-13»,Байконур,Восток-2,Успешный
44,02.04.1963 11:16:37,Запуск автоматической межпланетной станции «Луна-4»,Байконур,Молния,Успешный
45,06.04.1963 06:01,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
46,13.04.1963 14:00:00,Запуск космического аппарата «Космос-14»,Капустин Яр,Космос,Успешный
47,22.04.1963 11:30,Запуск космического аппарата «Космос-15»,Байконур,Восток-2,Успешный
48,28.04.1963 11:49:56,Запуск космического аппарата «Космос-16»,Байконур,Восток-2,Успешный
49,22.05.1963 06:00,Запуск космического аппарата «Космос-17»,Капустин Яр,Космос,Успешный
50,24.05.1963 13:34:06,Запуск космического аппарата «Космос-18»,Байконур,Восток-2,Успешный
51,01.06.1963 05:50,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
52,14.06.1963 14:58:59,Запуск пилотируемого космического корабля «Восток-5»,Байконур,Восток,Успешный
53,16.06.1963 12:29:51,Запуск пилотируемого космического корабля «Восток-6»,Байконур,Восток,Успешный
54,06.08.1963 09:07,Запуск космического аппарата «Космос-19»,Капустин Яр,Космос,Успешный
55,22.08.1963 09:00,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
56,18.10.1963 12:29:58,Запуск космического аппарата «Космос-20»,Байконур,Восток-2,Успешный
57,24.10.1963 07:30,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
58,01.11.1963 11:56:38,Запуск космического аппарата «Полет-1»,Байконур,Полет,Успешный
59,11.11.1963 09:23:34,Запуск автоматической межпланетной станции «Космос-21»,Байконур,Молния,Частично успешный
60,16.11.1963 13:34:25,Запуск космического аппарата «Космос-22»,Байконур,Восход,Успешный
61,28.11.1963 12:19:59,Запуск космического аппарата,Байконур,Восток-2,Аварийный
62,13.12.1963 17:15:24,Запуск космического аппарата «Космос-23»,Капустин Яр,Космос,Успешный
63,19.12.1963 12:28:58,Запуск космического аппарата «Космос-24»,Байконур,Восток-2,Успешный
64,30.01.1964 12:45:09,Запуск космических аппаратов «Электрон-1» и «Электрон-2»,Байконур,Восток,Успешный
65,19.02.1964 08:37:40,Запуск автоматической межпланетной станции к Венере,Байконур,Молния,Аварийный
66,27.02.1964 16:30,Запуск космического аппарата «Космос-25»,Капустин Яр,Космос,Успешный
67,18.03.1964 18:25,Запуск космического аппарата «Космос-26»,Капустин Яр,Космос,Успешный
68,21.03.1964 11:14:33,Запуск автоматической межпланетной станции к Луне,Байконур,Молния,Аварийный
69,27.03.1964 06:24:43,Запуск автоматической межпланетной станции «Космос-27» к Венере,Байконур,Молния,Частично успешный
70,02.04.1964 05:42:40,Запуск автоматической межпланетной станции «Зонд-1» к Венере,Байконур,Молния,Успешный
71,04.04.1964 12:45:00,Запуск космического аппарата «Космос-28»,Байконур,Восток-2,Успешный
72,12.04.1964 12:31,Запуск космического аппарата «Полет-2»,Байконур,Полет,Успешный
73,20.04.1964 11:08:28,Запуск автоматической межпланетной станции к Луне,Байконур,Молния,Аварийный
74,25.04.1964 13:21,Запуск космического аппарата «Космос-29»,Байконур,Восток-2,Успешный
75,18.05.1964 12:42,Запуск космического аппарата «Космос-30»,Байконур,Восход,Успешный
76,04.06.1964 07:00,Запуск космического аппарата,Байконур,Молния,Аварийный
77,06.06.1964 09:02,Запуск космического аппарата «Космос-31»,Капустин Яр,Космос,Успешный
78,10.06.1964 14:00,Запуск космического аппарата «Космос-32»,Байконур,Восток-2,Успешный
79,23.06.1964 13:00,Запуск космического аппарата «Космос-33»,Байконур,Восток-2,Успешный
80,01.07.1964 14:00,Запуск космического аппарата «Космос-34»,Байконур,Восход,Успешный
81,11.07.1964 00:51:02,Запуск космических аппаратов «Электрон-3» и «Электрон-4»,Байконур,Восток,Успешный
82,15.07.1964 14:27,Запуск космического аппарата «Космос-35»,Байконур,Восток-2,Успешный
83,30.07.1964 06:30,Запуск космического аппарата «Космос-36»,Капустин Яр,Космос,Успешный
84,14.08.1964 12:30,Запуск космического аппарата «Космос-37»,Байконур,Восток-2,Успешный
85,18.08.1964 12:15,"Запуск макетов космических аппаратов «Космос-38», «Космос-39» и «Космос-40»",Байконур,Космос-1,Успешный
86,22.08.1964 10:21,Запуск космического аппарата «Космос-41»,Байконур,Молния,Успешный
87,22.08.1964 14:00,Запуск космических аппаратов «Космос-42» и «Космос-43»,Капустин Яр,Космос,Успешный
88,28.08.1964 19:00,Запуск космического аппарата «Космос-44»,Байконур,Восток-2М,Успешный
89,13.09.1964 12:45,Запуск космического аппарата «Космос-45»,Байконур,Восход,Успешный
90,24.09.1964 15:04,Запуск космического аппарата «Космос-46»,Байконур,Восток-2,Успешный
91,06.10.1964 10:00:00,Запуск беспилотного космического корабля «Космос-47»,Байконур,Восход,Успешный
92,12.10.1964 10:30:01,Запуск пилотируемого космического корабля «Восход»,Байконур,Восход,Успешный
93,14.10.1964 13:00,Запуск космического аппарата «Космос-48»,Байконур,Восток-2,Успешный
94,23.10.1964 10:30,Запуск трех макетов космических аппаратов,Байконур,Космос-1,Аварийный
95,24.10.1964 07:00,Запуск космического аппарата «Космос-49»,Капустин Яр,Космос,Успешный
96,28.10.1964 13:40,Запуск космического аппарата «Космос-50»,Байконур,Восток-2,Успешный
97,30.11.1964 16:25,Запуск автоматической межпланетной станции «Зонд-2» к Марсу,Байконур,Молния,Успешный
98,01.12.1964 11:45,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
99,10.12.1964 02:00,Запуск космического аппарата «Космос-51»,Капустин Яр,Космос,Успешный
100,11.01.1965 12:29:58,Запуск космического аппарата «Космос-52»,Байконур,Восток-2,Успешный
101,30.01.1965 12:31,Запуск космического аппарата «Космос-53»,Капустин Яр,Космос,Успешный
102,12.02.1965 15:00,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
103,20.02.1965 09:30,Запуск космического аппарата,Капустин Яр,Космос,Аварийный
104,21.02.1965 14:00,"Запуск макетов космических аппаратов «Космос-54», «Космос-55» и «Космос-56»",Байконур,Космос-1,Успешный
105,22.02.1965 10:30,Запуск беспилотного космического корабля «Космос-57»,Байконур,Восход,Успешный
106,26.02.1965 08:01:32,Запуск космического аппарата «Космос-58»,Байконур,Восток-2М,Успешный
107,07.03.1965 11:59:28,Запуск космического аппарата «Космос-59»,Байконур,Восход,Успешный
108,12.03.1965 12:25:31,Запуск автоматической межпланетной станции «Космос-60» к Луне,Байконур,Молния,Частично успешный
109,15.03.1965 14:00,"Запуск макетов космических аппаратов «Космос-61», «Космос-62» и «Космос-63»",Байконур,Космос-1,Успешный
110,18.03.1965 10:00:00,Запуск пилотируемого космического корабля «Восход-2»,Байконур,Восход,Успешный
111,25.03.1965 13:00,Запуск космического аппарата «Космос-64»,Байконур,Восток-2,Успешный
112,10.04.1965 11:39:00,Запуск автоматической межпланетной станции к Луне,Байконур,Молния,Аварийный
113,17.04.1965 12:50,Запуск космического аппарата «Космос-65»,Байконур,Восход,Успешный
114,23.04.1965 04:55,Запуск космического аппарата «Молния-1»,Байконур,Молния,Успешный
115,07.05.1965 12:29:59,Запуск космического аппарата «Космос-66»,Байконур,Восток-2,Успешный
116,09.05.1965 10:49:39,Запуск автоматической межпланетной станции «Луна-5»,Байконур,Молния,Успешный
117,25.05.1965 13:50,Запуск космического аппарата «Космос-67»,Байконур,Восход,Успешный
118,08.06.1965 10:40:22,Запуск автоматической межпланетной станции «Луна-6»,Байконур,Молния,Успешный
119,15.06.1965 12:43:02,Запуск космического аппарата «Космос-68»,Байконур,Восток-2,Успешный
120,25.06.1965 12:45,Запуск космического аппарата «Космос-69»,Байконур,Восход,Успешный
121,02.07.1965 09:53,Запуск космического аппарата «Космос-70»,Капустин Яр,Космос,Успешный
122,13.07.1965 14:00,Запуск космического аппарата,Байконур,Восток-2,Аварийный
123,16.07.1965 06:31,"Запуск макетов космических аппаратов «Космос-71», «Космос-72», «Космос-73», «Космос-74» и «Космос-75»",Байконур,Космос-1,Успешный
124,16.07.1965 14:16,Запуск космического аппарата «Протон-1»,Байконур,Протон,Успешный
125,18.07.1965 17:32:05,Запуск автоматической межпланетной станции «Зонд-3» к Луне,Байконур,Молния,Успешный
126,23.07.1965 07:35,Запуск космического аппарата «Космос-76»,Капустин Яр,Космос,Успешный
127,03.08.1965 14:00,Запуск космического аппарата «Космос-77»,Байконур,Восход,Успешный
128,14.08.1965 13:56:46,Запуск космического аппарата «Космос-78»,Байконур,Восток-2,Успешный
129,25.08.1965 13:10:02,Запуск космического аппарата «Космос-79»,Байконур,Восход,Успешный
130,03.09.1965 17:00,"Запуск космических аппаратов «Космос-80», «Космос-81», «Космос-82», «Космос-83» и «Космос-84»",Байконур,Космос-1,Успешный
131,09.09.1965 12:30,Запуск космического аппарата «Космос-85»,Байконур,Восход,Успешный
132,18.09.1965 10:59,"Запуск космических аппаратов «Космос-86», «Космос-87», «Космос-88», «Космос-89» и «Космос-90»",Байконур,Космос-1,Успешный
133,23.09.1965 12:00,Запуск космического аппарата «Космос-91»,Байконур,Восход,Успешный
134,04.10.1965 10:36:46,Запуск автоматической межпланетной станции «Луна-7»,Байконур,Молния-М,Успешный
135,14.10.1965 09:00:02,Запуск космического аппарата «Молния-1»,Байконур,Молния,Успешный
136,16.10.1965 11:14:59,Запуск космического аппарата «Космос-92»,Байконур,Восход,Успешный
